"Company Name",Address,City,State,Zip,"Address Latitude","Address Longitude","Utility Owner","Utility Operator","Utility Type","Annual Generation","Min Generation Date","Max Generation Date","Power Plants","FERC Seller Min Date","FERC Seller Max Date","FERC Seller Total Transactions","FERC Seller Total Transaction Charges","FERC Buyer Min Date","FERC Buyer Max Date","FERC Buyer Total Transactions","FERC Buyer Total Transaction Charges","FERC Summary Quarter","FERC Seller Quarterly Transactions","FERC Seller Quarterly Transaction Charges","FERC Buyer Quarterly Transactions","FERC Buyer Quarterly Transaction Charges"
"City of Abbeville - (SC)","P O Box 639",Abbeville,SC,29620,34.18682100,-82.40041100,Y,N,"Municipally-Owned Utility",5928.672000,2001-01-01,2023-12-01,1,,,,,2014-01-01,2024-05-31,125,61610034.97,2024_q2,,,2,822844.08
"Sun Valley Solar LLC","884 HCR 31110 S",Abbott,TX,76621,31.88463500,-97.07530500,Y,Y,"Independent Power Producer",585934.000000,2022-12-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"US Dept of Army, Garrison, APG","4510 Boothby Hill Avenue, Aber",Aberdeen,MD,21005,39.48187900,-76.14509800,Y,N,"Federally-Owned Utility",49704.149000,2016-12-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Coastal Community Action Program","117 East Third St",Aberdeen,WA,98520,46.97752900,-123.82080500,Y,N,"Independent Power Producer",12285.976000,2011-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Mesquite Wind LLC","299 FM 604",Abilene,TX,79601,32.54702000,-99.55863700,Y,N,"Independent Power Producer",881574.000000,2007-11-01,2024-10-01,2,,,,,,,,,2024_q2,,,,
"Choctaw Generation L.P, L.L.L.P.","2391 Pensacola Road",Ackerman,MS,39735,33.37723600,-89.21671800,N,Y,Commercial,1684491.978000,2002-02-01,2024-10-01,1,2013-07-01,2024-10-01,273,1528821877.50,2015-05-26,2018-03-09,10,1165465.60,2024_q2,7,21673654.25,,
"Phelan Pinon Hills Community Services District","17900 Sheep Creek Road",Adelanto,CA,92301,34.57690400,-117.58248200,Y,N,"Independent Power Producer",347.000000,2019-01-01,2023-11-01,1,,,,,,,,,2024_q2,,,,
"Lower Valley Energy, Inc.","P O Box 188",Afton,WY,83110,42.72565300,-110.93428900,Y,N,Cooperative,16132.960000,2001-01-01,2023-12-01,2,,,,,,,,,2024_q2,,,,
"Berkshire Power Co LLC","36 Moylan Lane",Agawam,MA,1001,42.04789800,-72.64773700,Y,N,"Independent Power Producer",70140.000000,2001-01-01,2023-12-01,1,2013-07-01,2024-09-30,270387,336195561.03,2017-07-01,2017-08-31,30,3821680.00,2024_q2,4891,4564299.50,,
"City of Akron","2460 Akron Peninsula Rd",Akron,OH,44313,41.15636900,-81.56592500,Y,N,"Municipally-Owned Utility",8500.940000,2001-01-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Energy Harbor Generation LLC","168 East Market Street",Akron,OH,44308,41.08335000,-81.51236200,Y,Y,"Independent Power Producer",14703315.037000,2020-01-01,2023-07-01,1,2020-01-01,2023-04-30,40,1416884110.06,,,,,2024_q2,,,,
"Energy Harbor Nuclear Generation LLC","168 East Market Street",Akron,OH,44308,41.08335000,-81.51236200,Y,Y,"Independent Power Producer",35753937.000000,2020-01-01,2024-10-01,3,2020-01-01,2024-10-01,214375,5015568796.37,,,,,2024_q2,99500,224308078.96,,
"FirstEnergy Pennsylvania Electric Company","76 South Main Street",Akron,OH,44308,41.08326100,-81.51786500,N,N,,0.000000,,,0,2024-01-01,2024-09-30,34122,1907538.84,2024-01-01,2024-10-01,16318,269094114.88,2024_q2,5765,646692.32,4396,75407266.28
"Jersey Central Power & Light Company","76 South Main Street",Akron,OH,44308,41.08326100,-81.51786500,N,N,,0.000000,,,0,2013-07-01,2024-09-30,947317,298602590.31,2013-07-01,2024-10-01,1133811,9990749909.30,2024_q2,17160,23710.89,45995,238885819.16
"Ohio Edison Company","76 South Main Street",Akron,OH,44308,41.08326100,-81.51786500,N,N,,0.000000,,,0,2013-07-01,2024-09-30,19603,810560019.43,2013-07-01,2024-09-30,23238,1513052379.81,2024_q2,2750,408033.98,2195,14278211.05
"The Potomac Edison Company","76 South Main Street",Akron,OH,44308-1890,41.08326100,-81.51786500,N,N,,0.000000,,,0,2013-07-01,2024-09-30,624902,516427693.05,2013-07-01,2024-10-01,7472,4632306833.33,2024_q2,25,753377.04,123,112335198.59
"Inst and Envir Div Marine Logistics Base","814 Radford Blvd",Albany,GA,31704,31.55095100,-84.05415500,Y,N,"Federally-Owned Utility",8194.366000,2013-01-01,2023-12-01,2,,,,,,,,,2024_q2,,,,
"Albany Engineering Corporation","5 Washington Square",Albany,NY,12205,42.71076000,-73.86649600,Y,N,"Independent Power Producer",82369.471000,2013-01-01,2023-12-01,3,,,,,,,,,2024_q2,,,,
"Albany Medical Center","43 New Scotland Avenue",Albany,NY,12208,42.65312400,-73.77529700,Y,N,Commercial,33839.537000,2014-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Clear Energy Capital, LLC","575 Broadway",Albany,NY,12207,42.65147500,-73.74950700,Y,N,"Independent Power Producer",14442.635000,2020-01-01,2022-12-01,2,,,,,,,,,2024_q2,,,,
"KCE NY 1, LLC","418 Broadway, 3rd Floor",Albany,NY,12207,42.64839000,-73.75115900,N,Y,"Independent Power Producer",-2600.913000,2019-03-01,2023-12-01,1,2019-03-13,2024-10-01,936088,9174846.64,,,,,2024_q2,65328,883627.95,,
"Affordable Solar Silver City, LLC","4840 Pan American E FWY NE",Albuquerque,NM,87109,35.13641400,-106.60167500,Y,N,"Independent Power Producer",2077.933000,2013-06-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"Albuquerque City of","4201 Second Street SW",Albuquerque,NM,87105,35.01954700,-106.66010300,Y,N,"Political Subdivision",20142.920000,2001-01-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"Cuba 2.5ac, LLC","4441 Anaheim NE",Albuquerque,NM,87113,35.17816300,-106.59764000,Y,N,"Independent Power Producer",6287.650000,2022-02-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"New Mexico Renewable Development LLC","2401 Aztec NE, MS Z120",Albuquerque,NM,87107,35.12114200,-106.61618200,Y,Y,"Independent Power Producer",14142.717000,2018-01-01,2023-12-01,3,,,,,,,,,2024_q2,,,,
"NMRD Data Center, LLC","2401 Aztec NE.  Mail Stop Z120",Albuquerque,NM,87107,35.12114200,-106.61618200,Y,Y,"Independent Power Producer",380403.783000,2017-12-01,2024-09-01,5,,,,,,,,,2024_q2,,,,
"PNM Resources","414 Silver Ave",Albuquerque,NM,87158,35.12074400,-106.63364100,Y,Y,"Investor-Owned Utility",403987.830000,2012-01-01,2023-12-01,19,,,,,2015-10-23,2017-12-21,942,827487.50,2024_q2,,,,
"University of New Mexico","PPD - Utilities Division1 UNM",Albuquerque,NM,87131,35.08802000,-106.61940000,Y,N,"Political Subdivision",83710.870000,2001-01-01,2023-12-01,2,,,,,,,,,2024_q2,,,,
"DOCCS Wende","Creekview Dr.",Alden,NY,14004,42.93033480,-78.54875867,Y,N,"Independent Power Producer",8410.099000,2021-12-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"POET Biorefining - Alexandria, LLC.","13179 N. 100 East",Alexandria,IN,46001,40.29822100,-85.65664400,Y,N,Industrial,17980.480000,2020-01-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"City of Alexandria - (LA)","1011 North Third Street",Alexandria,LA,71309,31.31778900,-92.45312100,Y,N,"Municipally-Owned Utility",127470.085000,2001-07-01,2023-12-01,1,,,,,2013-12-19,2017-05-31,30,389903.23,2024_q2,,,,
"Doc Brown LLC","210 Wesmond Dr",Alexandria,VA,22305,38.83487700,-77.05395500,Y,Y,"Independent Power Producer",-1558.430000,2022-11-01,2023-12-01,1,2022-11-01,2024-10-01,99706,2177132.17,,,,,2024_q2,10592,215861.16,,
"City of Algona - (IA)","PO Box 10104 West Call Street",Algona,IA,50511,43.06980513,-94.24227604,Y,N,"Municipally-Owned Utility",6271.680000,2001-01-01,2023-12-01,2,,,,,,,,,2024_q2,,,,
"Acorn I Energy Storage LLC","65 Enterprise Street, 3rd Floo","Aliso Viejo",CA,92656,33.58280600,-117.72765100,Y,Y,"Independent Power Producer",-166.505000,2022-01-01,2023-12-01,1,2021-03-19,2024-09-30,177276,719806.65,,,,,2024_q2,4960,2616.87,,
"IHI Power Services Corp","95 Enterprise","Aliso Viejo",CA,92656,33.58167100,-117.72534000,Y,N,"Independent Power Producer",150208.000000,2012-01-01,2024-10-01,1,,,,,,,,,2024_q2,,,,
"PPA Grand Johanna LLC","65 Enterprise 3rd Floor","Aliso Viejo",CA,92656,33.58280600,-117.72765100,N,N,,0.000000,,,0,2017-01-09,2024-08-28,247408,1799138.15,,,,,2024_q2,1474,727.04,,
"Santa Paula Energy Storage, LLC","65 Enterprise, 3rd Floor","Aliso Viejo",CA,92656,33.58280600,-117.72765100,Y,Y,"Independent Power Producer",0.000000,,,1,2024-03-18,2024-10-01,13118,407196.77,,,,,2024_q2,2529,56074.00,,
"Wildcat I Energy Storage LLC","65 Enterprise Street, 3rd Floo","Aliso Viejo",CA,92656,33.58280600,-117.72765100,Y,Y,"Independent Power Producer",-203.179000,2022-01-01,2023-12-01,1,2021-10-20,2024-10-01,170736,1507996.81,,,,,2024_q2,5476,19581.10,,
"Air Products & Chemicals Inc","1940 Air Products Blvd",Allentown,PA,18106,40.55885900,-75.57973000,Y,N,Industrial,195038.000000,2001-01-01,2024-10-01,2,,,,,,,,,2024_q2,,,,
"Air Products LLC","1940 Air Products blvd",Allentown,PA,18106,40.55885900,-75.57973000,Y,N,Industrial,1281298.519000,2001-01-01,2023-12-01,2,,,,,,,,,2024_q2,,,,
"Brandon Shores LLC","600 Hamilton Street, Suite 600",Allentown,PA,18101,40.60240400,-75.46977800,Y,Y,"Independent Power Producer",1810500.003000,2016-01-01,2024-10-01,1,2013-07-01,2024-10-01,653893,2927493881.71,,,,,2024_q2,40383,58691983.87,,
"Brunner Island LLC","600 Hamilton Street",Allentown,PA,18101,40.60240400,-75.46977800,Y,N,"Independent Power Producer",3804542.999000,2001-01-01,2024-10-01,1,2015-04-01,2024-10-01,980264,1588875986.87,,,,,2024_q2,68862,40668112.65,,
"Camden Plant Holdings LLC","600 Hamilton St",Allentown,PA,18101,40.60240400,-75.46977800,Y,N,"Independent Power Producer",77942.000000,2019-01-01,2023-12-01,1,2013-07-01,2024-10-01,162131,172838812.04,,,,,2024_q2,8329,1883132.00,,
"Energy Power Partners","1605 N Cedar Crest Blvd, Suite",Allentown,PA,18104,40.61495800,-75.53159400,Y,Y,"Independent Power Producer",27143.430000,2019-12-01,2023-12-01,1,,,,,,,,,2024_q2,,,,
"EPP Renewable Energy","1605 N. Cedar Crest Blvd., Sui",Allentown,PA,18104,40.61495800,-75.53159400,Y,N,"Independent Power Producer",623391.980000,2008-01-01,2024-10-01,30,2015-10-01,2023-04-01,3841531,106601500.33,,,,,2024_q2,,,,
