Plant Code,Plant Name,Utility Code,Utility Name,Plant Address,Plant City,Plant County,Plant State,Plant Zip,Plant Latitude,Plant Longitude,Balancing Authority Code,Balancing Authority Name,Annual Generation,Plant Initial Operation Date,Last Update,Fuel Types,Plant URL,Utility URL,Balancing Authority URL
60364,White Street Renewables,60154,White Street Renewables LLC,2503 White Street,Greensboro,Guilford County,NC,27405,36.10447,-79.723622,DUK,Duke Energy Carolinas,14111,2019-06-00,12/1/2023,Landfill Gas : 54.6%|Solar : 45.4%,https://www.gridinfo.com/plant/white-street-renewables/60364,https://www.gridinfo.com/white-street-renewables-llc,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
1016,Butler-Warner Generation Plant,6235,Fayetteville Public Works Commission,2274 Custer Ave,Fayetteville,Cumberland County,NC,28312,35.0986,-78.8294,CPLE,Duke Energy Progress East,39628,1976-07-00,10/1/2024,Natural Gas : 90.3%|Distillate Fuel Oil : 5.9%|Solar : 3.7%,https://www.gridinfo.com/plant/butler-warner-generation-plant/1016,https://www.gridinfo.com/fayetteville-public-works-commission,https://www.gridinfo.com/balancing-authority/duke-energy-progress-east
60191,"TWE New Bern Solar Project, LLC",61060,Cypress Creek Renewables,1185 NC 55 Hwy West,New Bern,Craven County,NC,28563,35.154273,-77.13432,DUK,Duke Energy Carolinas,6114,2016-08-00,12/1/2023,Solar,https://www.gridinfo.com/plant/twe-new-bern-solar-project-llc/60191,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60313,"Augustus Farm, LLC",64778,"Strata Manager, LLC",9815 U.S. 264 Alternate East,Farmville,Pitt County,NC,27828,35.599685,-77.639109,DUK,Duke Energy Carolinas,9605,2015-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/augustus-farm-llc/60313,https://www.gridinfo.com/strata-manager-llc,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60199,"County Home Solar Center, LLC",59462,"Heelstone Energy Holdings, LLC",230 Victory Lane,Shelby,Cleveland County,NC,28152,35.263255,-81.508684,DUK,Duke Energy Carolinas,3332,2016-09-00,12/1/2023,Solar,https://www.gridinfo.com/plant/county-home-solar-center-llc/60199,https://www.gridinfo.com/heelstone-energy-holdings-llc,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60200,"Laurinburg Solar, LLC (Heelstone)",61119,"SRE Utility Solar 1, LLC",19961 Andrew Jackson Highway,Maxton,Robeson County,NC,28364,34.707644,-79.29538,DUK,Duke Energy Carolinas,3907,2015-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/laurinburg-solar-llc-heelstone/60200,https://www.gridinfo.com/sre-utility-solar-1-llc,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60207,Hemlock Solar,59977,Hemlock Solar LLC,614 Lowe's Boulevard,Garysburg,Northampton County,NC,27831,36.469089,-77.597517,PJM,"PJM Interconnection, LLC",9878,2017-03-00,12/1/2023,Solar,https://www.gridinfo.com/plant/hemlock-solar/60207,https://www.gridinfo.com/hemlock-solar-llc,https://www.gridinfo.com/balancing-authority/pjm-interconnection-llc
60208,"Long Farm 46 Solar, LLC",65411,Duke Energy Renewables Services,6738 NC-46 Highway,Garysburg,Northampton County,NC,27831,36.467021,-77.617957,PJM,"PJM Interconnection, LLC",9129,2016-02-00,12/1/2023,Solar,https://www.gridinfo.com/plant/long-farm-46-solar-llc/60208,https://www.gridinfo.com/duke-energy-renewables-services,https://www.gridinfo.com/balancing-authority/pjm-interconnection-llc
60209,HXNAir Solar One,59978,HXNAir Solar One LLC,700 Gregory Farm Road,Halifax,Halifax County,NC,27839,36.348734,-77.631511,PJM,"PJM Interconnection, LLC",9052,2017-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/hxnair-solar-one/60209,https://www.gridinfo.com/hxnair-solar-one-llc,https://www.gridinfo.com/balancing-authority/pjm-interconnection-llc
59648,Tarboro Solar,65411,Duke Energy Renewables Services,2677 US 64 Alt. Est.,Tarboro,Edgecombe County,NC,27886,35.858056,-77.499167,PJM,"PJM Interconnection, LLC",8696,2016-01-00,12/1/2023,Solar,https://www.gridinfo.com/plant/tarboro-solar/59648,https://www.gridinfo.com/duke-energy-renewables-services,https://www.gridinfo.com/balancing-authority/pjm-interconnection-llc
60240,"Yanceyville Farm 3, LLC",64778,"Strata Manager, LLC",643 Murray Road,Blanch,Caswell County,NC,27212,36.428608,-79.348886,DUK,Duke Energy Carolinas,8599,2015-12-00,12/1/2023,Solar,https://www.gridinfo.com/plant/yanceyville-farm-3-llc/60240,https://www.gridinfo.com/strata-manager-llc,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60257,Stainback Solar Farm,61060,Cypress Creek Renewables,535 Chestnut Street,Middleburg,Vance County,NC,27556,36.395286,-78.328294,DUK,Duke Energy Carolinas,9363,2016-09-00,12/1/2023,Solar,https://www.gridinfo.com/plant/stainback-solar-farm/60257,https://www.gridinfo.com/cypress-creek-renewables,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60284,Organ Church Solar,61944,MN8 Energy LLC,Organ Church Rd,Rockwell,Rowan County,NC,28138,35.525584,-80.451125,DUK,Duke Energy Carolinas,10295,2019-02-00,12/1/2023,Solar,https://www.gridinfo.com/plant/organ-church-solar/60284,https://www.gridinfo.com/mn8-energy-llc,https://www.gridinfo.com/balancing-authority/duke-energy-carolinas
60287,Willard Solar,66041,"USF Essex Lessor, LLC",455 Church St,Willard,Pender County,NC,28478,34.70249,-77.9697,CPLE,Duke Energy Progress East,8676,2020-10-00,12/1/2023,Solar,https://www.gridinfo.com/plant/willard-solar/60287,https://www.gridinfo.com/usf-essex-lessor-llc,https://www.gridinfo.com/balancing-authority/duke-energy-progress-east
